source_id,title,year,source_type,organization_or_authors,url,evidence_grade,asset_type,relevance_to_failure_intervention_data,key_evidence,notes
FID-013,Learning while Deploying: Fleet-Scale Reinforcement Learning for Generalist Robot Policies,2026,paper,"Wang et al.",https://arxiv.org/abs/2605.00416,S,method_fleet,"Evidence that fleet deployment logs plus human interventions may become a post-training asset.","Uses autonomous rollouts and human interventions across a fleet of 16 dual-arm robots; improves average success to 95%.","Very recent; verify code/data release and reproducibility."
FID-014,Fleet-DAgger: Interactive Robot Fleet Learning with Scalable Human Supervision,2022,paper,"Hoque et al.",https://arxiv.org/abs/2206.14349,S,method_fleet,"Frames remote human interventions as scarce fleet-learning supervision.","Industrial fleets at Amazon, Nimble, Plus One, Waymo, Zoox query remote teleoperators; proposes Return on Human Effort and Fleet-DAgger.","Good analogy for ToB service economics and human-attention allocation."
FID-015,Learning from Imperfect Demonstrations with Self-Supervision for Robotic Manipulation,2024,paper,"Wu et al.",https://arxiv.org/abs/2401.08957,S,method,"Directly argues failed/imperfect data is usually discarded but can improve policies if filtered.","SSDF scores failed trajectory segments and adds high-quality segments to training; improves success in ManiSkill2 and real Franka tasks.","Useful method for converting failed demos into positive subsegments."
FID-016,AHA: A Vision-Language-Model for Detecting and Reasoning over Failures in Robotic Manipulation,2025,project_paper,AHA team,https://aha-vlm.github.io/,S,dataset_model,"Failure reasoning dataset and VLM for detection/explanation.","FailGen perturbs successful RLBench trajectories to generate failure demonstrations; includes failure modes such as grasp slip, translations, rotations, wrong sequence; improves downstream recovery/planning.","Synthetic-heavy; watch sim-to-real limits."
FID-017,RoboFAC: A Comprehensive Framework for Robotic Failure Analysis and Correction,2025,paper,"Ye et al.",https://arxiv.org/abs/2505.12224,S,dataset_model,"Failure-centric VLA supervision for diagnosis and correction.","9,440 erroneous manipulation trajectories and 78,623 QA pairs across 53 scenes; failure categories; 29.1% relative improvement in real VLA pipeline.","Dataset on HF has viewer issues; verify raw files and license before reuse."
FID-018,Learning Actionable Manipulation Recovery via Counterfactual Failure Synthesis,2026,paper,"Li et al.",https://arxiv.org/abs/2603.13528,S,method_synthetic,"Shows a path to synthesize paired failure-correction data from successful real-world demos.","Dream2Fix generates 120k paired samples with verification filters; improves correction accuracy from 19.7% to 81.3%.","Very recent; needs reproduction and source-code check."
FID-019,Failure-Aware RL: Reliable Offline-to-Online Reinforcement Learning with Self-Recovery for Real-World Manipulation,2026,project_paper,"Shanghai Qi Zhi Institute; SJTU; Tsinghua; NTU; A*STAR; UMD",https://failure-aware-rl.github.io/,S,method_benchmark,"Treats intervention-requiring failures as a central online-RL safety bottleneck.","FARL trains recovery policy and world-model safety critic offline; reports 73.1% fewer intervention-requiring failures and 11.3% higher performance.","China-relevant research team; track code and FailureBench release."
FID-020,DROID: A Large-Scale In-The-Wild Robot Manipulation Dataset,2024,paper,"Khazatsky et al.",https://arxiv.org/abs/2403.12945,S,baseline_dataset,"Important contrast: large in-the-wild demonstrations, but public abstract does not state failure labels are retained.","76k demonstration trajectories, 350 hours, 564 scenes, 84 tasks, 50 collectors.","Use as success/demo-heavy baseline; verify if raw metadata has success flags or discarded failed attempts."
FID-021,Universal Manipulation Interface GitHub Repository,2024,open_source_repository,Stanford TRI,https://github.com/real-stanford/universal_manipulation_interface,S,baseline_pipeline,"UMI pipeline exposes data-quality drops such as SLAM failures, but not a public failure-recovery labeling scheme.","Example SLAM pipeline reports percent of usable raw data and n_dropped_demos; training uses processed Zarr.","Useful for distinguishing sensor/pipeline failure from task failure."
FID-022,Mobile ALOHA: Learning Bimanual Mobile Manipulation with Low-Cost Whole-Body Teleoperation,2024,paper,"Fu, Zhao, Finn",https://arxiv.org/abs/2401.02117,S,baseline_dataset,"Success-demo-focused mobile manipulation baseline.","Uses Mobile ALOHA teleoperation and behavior cloning; 50 demonstrations per task; co-training improves success rates.","Does not advertise preserved failed trajectories in abstract."
FID-023,Learning Fine-Grained Bimanual Manipulation with Low-Cost Hardware,2023,paper,"Zhao et al.",https://arxiv.org/abs/2304.13705,S,baseline_dataset,"ALOHA/ACT demonstrates low-cost teleoperation data value but is not failure-centric.","ACT addresses compounding errors; reports 80-90% success with around 10 minutes of demos on six tasks.","Useful as hardware/data-collection baseline."
FID-024,ADAS-TO: A Large-Scale Multimodal Naturalistic Dataset and Empirical Characterization of Human Takeovers during ADAS Engagement,2026,paper,"Wang et al.",https://arxiv.org/abs/2603.06986,S,adjacent_dataset,"Autonomous-driving analogy for takeover-centered public datasets.","15,659 takeover-centered 20s clips from 327 drivers across 22 brands; labels trigger type and safety-critical cases.","Use as analogy, not direct robot-manipulation evidence."
FID-025,California DMV Disengagement Reports,2026,official_dataset,California DMV,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/disengagement-reports/,S,adjacent_regulatory_data,"Official proof that intervention/disengagement logs are institutionalized in autonomous driving.","AV permit holders must track and report disengagements from autonomous mode during testing.","Shows governance and reporting pattern domestic robot fleets may eventually need."
FID-026,TalosHub Manufacturing Training Data for Robots,2026,company_website,TalosHub,https://taloshub.io/,B,commercial_service,"Commercial signal that exception/recovery labels are being packaged as robotics data products.","Claims manufacturing task packs include multi-view video, machine-state alignment, phase segmentation, exception coverage, recovery annotations, success/failure labels, QA gates, and loaders.","Company claims need customer/reference verification; useful market-signal source."
FID-027,Deployment-Time Reliability of Learned Robot Policies,2026,dissertation,"Agia",https://arxiv.org/abs/2603.11400,S,method_reliability,"Frames deployment-time failures as inputs for monitoring, diagnosis, and data curation.","Proposes runtime failure monitoring and tracing deployment successes/failures to influential training demonstrations for dataset curation.","Good conceptual support for failure logs as curation assets."
FID-028,RoboMD: Uncovering Robot Vulnerabilities through Semantic Potential Fields,2024,paper,"Sagar et al.",https://arxiv.org/abs/2412.02818,S,method_diagnosis,"Uses limited success-failure data to find vulnerable regions before real failures happen.","Learns vulnerability prediction in a vision-language embedding and fine-tunes with discovered vulnerabilities.","Useful for active failure mining and pre-deployment stress testing."
