"record_id","region","city_or_area","category","name","release_or_event_date","responsible_institution","source_type","official_priority","mentions_embodied_ai","mentions_data_collection","mentions_training_field","mentions_evaluation","mentions_public_platform","mentions_open_source_or_open_platform","mentions_standards","evidence_summary","relevance_to_training_data_business","status","source_url","verification_notes"
"EALP-011","深圳/广东","深圳","policy","深圳市具身智能机器人技术创新与产业发展行动计划（2025-2027年）","2025-03-03","深圳市科技创新局","政策文件","S","yes","yes","yes","yes","yes","yes","yes","提出打造公共服务平台矩阵；支持具身智能技术试验场、广东省具身智能机器人创新中心、开放创新平台、开源社区、评测适配中心；研究具身数据采集解耦、遥操作与人类示教，开发真机数据采集平台和数据仿真平台，生成并发布开源数据集。","深圳明确把数据采集关键技术、真机/仿真数据平台、开源数据集和标准写入行动计划，适合硬件+平台+开源生态路线。","verified","https://stic.sz.gov.cn/gkmlpt/content/12/12052/mpost_12052515.html","后续跟踪广东省具身智能机器人创新中心和深圳市标准化技术委员会落地。"
"EALP-012","深圳/广东","深圳龙岗","robot_friendly_city","龙岗区具身智能机器人友好示范城区三年行动方案（2025—2027年）","2025-05-21","龙岗区人工智能（机器人）署；龙岗区政府","政府新闻","S","yes","yes","yes","yes","yes","partial","partial","公开报道提到“一署、两试点、六平台、N场景”；坂田示范街区计划通过技术研发、场景验证、产业协同、数据反哺全链条生态，六平台涵盖数据聚合、硬件创新、仿真测试等。","提供开放街区训练、城市治理场景和数据反哺路线，适合场景运营型数据服务。","needs_follow_up","https://www.sz.gov.cn/cn/xxgk/zfxxgj/gqdt/content/post_12196815.html","网页抓取不稳定；需补龙岗区政策原文或区政府发布件。"
"EALP-013","广东","全省/广州深圳等","policy","广东省人工智能赋能制造业高质量发展行动方案（2025—2027年）","2025-09-29","广东省人民政府办公厅；广东省工业和信息化厅","政策文件","S","partial","yes","yes","partial","yes","yes","yes","提出建设高质量工业数据集和工业知识语料库，支持可信数据空间；通过算力券、训力券支持模型训练；支持广州、深圳等地市建设具身智能训练场体系，提供数据训练和验证支撑；建设人工智能开源社区和开源生态中心。","省级制造业数据、训力券、训练场体系和开源生态组合，适合对接工业场景数据采集和机器人训练验证。","verified","https://www.gd.gov.cn/zwgk/wjk/qbwj/ybh/content/post_4787001.html","文件是AI+制造业总方案，具身智能为支撑体系之一；需搭配1+1+N训练场专项方案。"
"EALP-014","广东","全省/深圳示范区/N个分训练场","training_field_system","广东省“1+1+N”具身智能训练场体系","2025-12-13","广东省具身智能训练场；广晟控股集团；广东省具身智能科技有限公司","省级媒体/会议发布","A","yes","yes","yes","yes","yes","partial","yes","发布1个广东核心中枢、1个深圳示范窗口、N个垂直分训练场；八大平台覆盖数据、训练、标准、检测、产业、教育、资讯、人才；数据平台建设数据银行，训练集成平台定位机器人学校，检测认证平台提供数据质量等测评认证。","这是省级训练场网络和数据银行路线，适合规模化数据采集、跨场景调度、分训练场运营和数据交易。","needs_follow_up","https://news.southcn.com/node_54a44f01a2/597fb15cf5.shtml","尚未找到《广东省“1+1+N”具身智能训练场体系建设方案》政府原文；需补2025-09-04正式文件。"
"EALP-015","浙江/杭州","杭州","policy","杭州市具身智能机器人“强链补链”行动方案（2026-2027年）政策解读","2026-01-05","杭州市经济和信息化局（杭州市数字经济局）","政府公报政策解读","S","yes","yes","yes","partial","yes","partial","yes","提出构建三大服务平台，支持国家级具身智能行业应用中试基地、人形机器人中试验证暨应用推广中心、具身智能机器人制造业创新中心；强化高质量数据供给，支持企业采购数据产品及服务；支持上城区建设虚拟训练场和空间智能线下训练场基地。","杭州形成多区分工：中试、制造业创新中心、虚拟/线下训练场、数据产品采购，可作为民营生态+政策补贴的落地样本。","verified","https://zfgb.hangzhou.gov.cn/15/101220263/t104220263014/530114.shtml","需补正式行动方案全文、各区平台承担主体和资金细则。"
"EALP-016","浙江/杭州","杭州","national_pilot_base","国家人工智能应用中试基地（具身智能）","2026-05-16","杭州市相关平台；华为；阿里达摩院；杭州高新科创集团等","市委宣传系统新闻","S","yes","partial","partial","partial","yes","yes","partial","国家人工智能应用中试基地（具身智能）在杭州揭牌，称为中国首个面向具身智能领域的国家级应用中试基地；聚焦新消费、新物流、新制造、新工程、新安全、新农业；与华为、阿里达摩院共建联合创新中心和创新加速器。","中试基地更偏应用验证和产业孵化，可承接数据采集设备测试、场景验证和行业解决方案试点。","verified","https://www.hzxcw.gov.cn/content_47787.html","需补国家级认定文件、运营主体、开放服务目录和数据服务能力。"
"EALP-017","浙江","德清/长三角","public_training_field","长三角（德清）具身智能数据采集训练场；物理AI数据基座平台","2026-03-05","浙江无问智行科技有限公司；浙江大学及生态企业","省级机构转载/浙江日报","A","yes","yes","yes","yes","yes","partial","partial","室内总面积8000平方米，一期3000平方米，1:1还原车间、咖啡馆、客厅等真实应用场景；采集视觉、深度、力觉等数据并详细标注；发布物理AI数据基座平台，提供真实数据、仿真合成数据和工具链；预计2026年采集千万条数据。","德清是长三角公共数据采集训练场路线，适合研究数据采集标注成本、共享场景、物理AI数据基座和训练场运营。","verified","https://zjic.zj.gov.cn/zkdt/rdzx/202603/t20260326_24007563.shtml","该页面为浙江省经济信息中心转载浙江日报；需补德清当地政府或运营方原始发布。"
"EALP-018","浙江/杭州","杭州","draft_regulation","杭州市促进具身智能机器人产业发展条例（草案）","2025-08-14","杭州市人民政府；杭州市司法局；杭州市经信局等","省级机构转载/征求意见线索","A","yes","yes","yes","yes","yes","partial","partial","草案提出构建支撑具身智能机器人研发与应用的公共数据资源体系，推动市政、交通、文旅、自然资源等重点领域公共数据开放共享；支持可信数据空间和高质量训练数据集建设运营；建设多场景、多任务真实场景训练测试场地和仿真训练环境。","若条例落地，将为数据采集公司提供公共数据开放、可信数据空间和中试公共服务的制度依据。","needs_follow_up","https://zjic.zj.gov.cn/ywdh/cyfz/202508/t20250813_23628312.shtml","需补杭州市人民政府门户网站草案原文及正式通过状态。"
"EALP-019","安徽","全省/合肥芜湖等","policy","安徽省智能机器人产业发展行动方案（2025—2027年）","2025-11-10","安徽省人民政府办公厅；安徽省工业和信息化厅等","政策文件转载","S","partial","yes","yes","yes","yes","yes","yes","提出建设智能机器人数据训练场等创新平台；对省级智能机器人数据训练场、开源生态中心（社区）、中试平台、产业计量测试中心等给予最高500万元奖补；研发高质量数据集、仿真平台和开发环境；加强人形机器人行业标准规范、风险评估研究。","安徽把数据训练场、开源生态中心、中试平台、产业计量测试中心纳入省级奖补，适合公共服务平台和测评/计量路线。","verified","https://www.tl.gov.cn/tlsrmzf/c000841/pc/content/content_1995691327649275904.html","来源为铜陵市政府转载，页面标注来源安徽省人民政府办公厅；后续补安徽省政府原站URL。"
"EALP-020","安徽/合肥","合肥瑶海","public_training_field","合肥市具身智能机器人数据采集预训练场","2025-06-23","国际先进技术应用推进中心（合肥）；合肥市瑶海区","产业平台转载/合肥日报线索","B","yes","yes","yes","yes","yes","no","partial","合肥智能机器人公共服务平台核心板块，已建成700平方米预训练场，开展10余个生产场景的数据采集和训练验证；平台涵盖零部件生产加工、产品测试、场景训练、竞技赛事四大板块，并计划扩建到5000平方米、超100台机器人、30个以上细分场景。","合肥样本强调政府侧公共服务平台和制造业真实产线复刻，适合工业场景数据采集服务和产品测试联动。","needs_follow_up","https://www.ahchanye.com/zixun/56261.html","非政府原站转载；需补国先中心（合肥）、合肥日报或瑶海区政府原始发布。"
"EALP-021","安徽","合肥/芜湖","policy_cluster","安徽省人形机器人产业发展行动计划（2024—2027）","2024-12-06","安徽省工业和信息化厅；合肥市；芜湖市等","政府机构新闻线索","A","yes","partial","partial","partial","yes","partial","yes","安徽省发布人形机器人产业发展行动计划，打造合肥、芜湖两个产业先导区，构建省级创新平台、产业基金、招引孵化基地创新体系；芜湖机器人产业链企业300多家，2024年机器人产业产值突破350亿元。","安徽早期规划偏产业链和先导区，后续可与2025省级智能机器人方案中的数据训练场奖补衔接。","needs_follow_up","https://cczx.wuhu.gov.cn/cxzx/cyqy/8747758.html","芜湖市产业创新中心页面引用行动计划；需补安徽省工信厅正式发布原文和数据/训练场条款。"
