company,product_model,product_category,key_public_parameters,technical_route,strengths,weaknesses_or_unknowns,sources,verification_status
LimX,Oli,full-size humanoid,"165cm-class humanoid; 31DoF signal from entity page; self-developed 6-axis IMU; head/chest depth cameras; Python SDK; URDF; bilingual voice","humanoid body + motion control + developer platform","developer-friendly and suitable for education, display, patrol and experimentation","payload, runtime and detailed specs need manual/specification capture","SRC-robotics-106","raw captured"
LimX,TRON 1,multi-modal biped platform,"point-foot, sole and wheeled foot modes; Python SDK; URDF; Isaac/Mujoco/Gazebo; arm, voice and sensor expansion kits","biped locomotion and RL/Sim2Real research platform","strong onboarding platform for humanoid control research","not a full manipulation robot by default; user manual capture pending","SRC-robotics-104","raw captured"
LimX,TRON 2,wheeled/sole dual-arm VLA platform,"dual arms + wheeled legs + sole modes; native VLA data collection, cleaning, annotation, training, inference and task management; supports ACT and Pi0.5","mobile dual-arm VLA engineering platform","tight link between hardware and VLA toolchain","payload, dimensions and battery specs not public in captured page","SRC-robotics-107;SRC-robotics-108","raw captured"
RobotEra,L7,full-size biped humanoid,"55DoF; 171cm; dual-arm payload 20kg","full-stack humanoid + ERA-42 VLA","strong logistics/manufacturing PMF narrative and financing signals","batch delivery, reliability and TCO need hard customer evidence","SRC-robotics-141","web verified; raw capture pending"
RobotEra,XHAND 1,dexterous hand,"12 active DoF; 1.1kg; 190.36x94x47mm; max grip 80N; max payload 25kg; fingertip force 15N; fingertip payload 5kg; minimum grasp diameter 16mm","fully actuated five-finger hand + optional tactile + ROS/SDK/teleoperation","transparent dexterous manipulation parameters; can pair with multiple robot bodies","cost, lifetime and tactile-version production consistency need verification","SRC-robotics-142","web verified; raw capture pending"
RobotEra,Q5 / M7 / XHAND 1 Lite,humanoid/service/dexterous product lines,"official product line visible; detailed specs not yet captured","service/manufacturing humanoid and dexterous-hand portfolio","complete product matrix","needs PDF or product detail pages","SRC-robotics-141","web verified; raw capture pending"
Galbot,Galbot G1,wheeled humanoid/dual-arm robot,"0-2.4m operation coverage; arm reach up to 1.9m; payload up to 10kg; omnidirectional chassis; up to 8h operation","wheeled lifting dual-arm + multimodal embodied brain","more practical than biped humanoids for shelves and commercial service","detailed specs, pricing and customer cases need verification","SRC-robotics-143","web verified; raw capture pending"
Galaxea,R1 Pro,wheeled dual-arm research/data platform,"1700mm height; 26DoF; rated 3.5kg and max 5kg single-arm payload; 0-2m workspace; 1.5m/s chassis; Orin 32GB/200TOPS; multi-camera + LiDAR","dual-arm + lift torso + three-wheel steering chassis + AI development stack","good fit for research, data acquisition and scenario deployment","commercial scale and customer evidence need verification","SRC-robotics-144","web verified; raw capture pending"
Galaxea,R1,wheeled dual-arm research/data platform,"1700mm height; 24DoF; rated 2kg and max 3.5kg single-arm payload; 0-2m workspace; 1.5m/s chassis; Orin 32GB/200TOPS","dual-arm embodied AI development platform","parameter-transparent and documented","company/product naming should be separated from Galbot","SRC-robotics-144","web verified; raw capture pending"
Galaxea,R1 Lite,wheeled dual-arm research/data platform,"1455mm height; 23DoF; rated 2kg and max 3.5kg single-arm payload; 0-1.7m workspace; 1.5m/s chassis; basic binocular camera","lighter data/research variant","lower-cost and simpler data platform","limited sensing vs R1/R1 Pro","SRC-robotics-144","web verified; raw capture pending"
X2Robot,Quantum 2 / 量子 2,wheeled humanoid robot,"20+ whole-body DoF; 0-2m workspace; wheeled base; WALL-A billion-scale end-to-end operation model","model-driven wheeled humanoid + end-to-end VLA","clear model-first positioning and strong financing signals","payload, runtime, price and interface openness need verification","SRC-robotics-022","raw captured"
MagicLab,MagicBot series / quadruped line,humanoid/quadruped,"official site has order and scenario news; model specs not captured","humanoid/quadruped + scenario solution","active scene marketing and order news","product specifications and revenue recognition need harder evidence","SRC-robotics-023","raw captured; parameters pending"
DOBOT,Atom,full-size humanoid,"official product matrix names Atom as first humanoid robot; detailed parameters not captured","collaborative-arm manufacturer entering humanoid robotics","manufacturing know-how and existing customer base","specifications and commercial share need verification","SRC-robotics-024;SRC-robotics-145","raw captured for product list; parameters pending"
DOBOT,CR 30H,high-payload collaborative robot,"30kg payload signal; 300deg/s speed claim from official site","high-payload six-axis collaborative robot","useful for palletizing, handling and welding","complete reach/repeatability specs need datasheet","SRC-robotics-024;SRC-robotics-145","raw captured for product list; parameters pending"
DOBOT,CR20A,collaborative robot,"20kg payload; 1700mm radius; 2000mm/s TCP speed; +/-0.05mm repeatability; IP54","industrial collaborative robot","clear high-payload cobot parameters","full CRA family still needs datasheet extraction","SRC-robotics-146","web verified; raw capture pending"
DOBOT,CRAF series,force-control collaborative robot,"5-20kg max payload; 900-1700mm radius; +/-0.02 to +/-0.05mm repeatability","built-in force-control collaborative robot","suitable for assembly, polishing and flexible work","per-model specs need datasheets","SRC-robotics-145","web verified; raw capture pending"
DOBOT,CRA-IP68 series,high-protection collaborative robot,"5-20kg max payload; up to 1700mm; IP68","high-protection collaborative robot","fits wet/dusty/extreme environments","per-model specs and certifications need verification","SRC-robotics-145","web verified; raw capture pending"
DOBOT,Nova 2,commercial collaborative robot,"11kg weight; 625mm reach; +/-0.05mm repeatability","commercial/service cobot","targets retail/physiotherapy and nontraditional scenarios","commercial scale needs validation","SRC-robotics-145","web verified; raw capture pending"
DOBOT,Nova 5,commercial collaborative robot,"14kg weight; 850mm reach; +/-0.05mm repeatability","commercial/service cobot","larger reach than Nova 2","commercial scale needs validation","SRC-robotics-145","web verified; raw capture pending"
DOBOT,MG400 / M1 Pro / Magician E6,desktop/SCARA/education robots,"M1 Pro 1.5kg payload 400mm reach +/-0.02mm; MG400 and Magician lines visible","desktop automation and education robots","low barrier and education ecosystem","less directly tied to general embodied intelligence","SRC-robotics-024;SRC-robotics-145","raw captured for product list; partial params"
JAKA,JAKA Zu series,collaborative robot series,"Zu series includes Zu3/5/7/12/18/20/30; 3-30kg payload range signal","general collaborative robot","wide model coverage and established cobot use cases","complete per-model specs need selection manual","SRC-robotics-025;SRC-robotics-147;SRC-robotics-148","partial raw captured; more pending"
JAKA,JAKA Zu18,collaborative robot,"18kg payload; 35kg robot weight; 1073mm reach; +/-0.03mm repeatability; 6-axis; IP54","general collaborative robot","transparent high-payload model parameters","compare against Zu20/Zu30 after manual extraction","SRC-robotics-148","web verified; raw capture pending"
JAKA,JAKA Pro series,high-protection collaborative robot,"Pro5/Pro12/Pro16 listed; IP68 positioning from official pages","high-protection cobot for harsh environments","strong fit for oil, dust and water exposure","per-model parameters need datasheets","SRC-robotics-025;SRC-robotics-147","raw captured for list; parameters pending"
JAKA,JAKA S series,force-control collaborative robot,"S5/S12 listed; built-in force control positioning","smart force-control cobot","suitable for assembly, polishing and flexible operation","detailed parameters need datasheets","SRC-robotics-025;SRC-robotics-147","raw captured for list; parameters pending"
JAKA,EI Robot / Kargo / K1 / Lumi / S3 / EVO,embodied/mobile work platform,"product names listed on official site","cobot + mobile/vision/force-control + generalized task platform","shows transition from point programming to embodied work ability","specific parameters and customer cases need capture","SRC-robotics-025","raw captured for list; parameters pending"
AUBO,i3,collaborative robot,"3kg payload; 16kg weight; +/-0.02mm repeatability; 625mm reach","open-architecture collaborative robot","mature small-payload cobot","Chinese and overseas product docs should be reconciled","SRC-robotics-149","web verified; raw capture pending"
AUBO,i5,collaborative robot,"5kg payload; 24kg weight; +/-0.02mm repeatability; 886.5mm reach","open-architecture collaborative robot","mature general-purpose cobot","full i-series and iS/C specs need official manual capture","SRC-robotics-149","web verified; raw capture pending"
AUBO,i10 / i16 / i20,collaborative robot,"i-series covers 10kg, 16kg and 20kg payload options; detailed values not captured","collaborative robot","payload range covers broader industrial use","reach and weight need datasheets","SRC-robotics-149","web verified; raw capture pending"
SIASUN,SA SCARA series,SCARA industrial robots,"official page lists SA4A-4/0.40, SA7A variants, SA10A variants, SA20A and other SCARA models with payload/reach examples","SCARA industrial robot","broad industrial product line","per-model full parameters need product pages/manuals","SRC-robotics-150","web verified; raw capture pending"
SIASUN,SR industrial robot series,industrial robot,"official page lists SR220A, SR270A, SR360A, SR500A and other heavy models up to 500kg-class payload examples","industrial robot + system integration","strong historical project experience","traditional automation economics should not be confused with humanoid thesis","SRC-robotics-150","web verified; raw capture pending"
SIASUN,Mobile Robot standard products,AMR/AGV,"forklift B20S/B30S/D15S/D20S; tote/box FP85/FP95; under-ride P-T600D to P-T3000D; delivery G series","mobile robot + IMRS 2.0 dispatching","broad factory logistics coverage","detailed payload/speed specs need manuals","SRC-robotics-151","web verified; raw capture pending"
SIASUN,Mobile Robot customized products,heavy-duty/composite AMR,"3T, 5T, 10T, 20T, 30T, 60T, 80T heavy-duty; mobile manipulator; roller conveyor mobile robot","custom AMR/AGV and composite mobile manipulation","serves complex process-driven industrial logistics","non-standard projects may have margin and delivery risks","SRC-robotics-151","web verified; raw capture pending"
ESTUN,ER series,industrial robot series,"ER series covers 3kg-1200kg payload; process applications include palletizing, packaging, grinding, arc welding, spot welding, precision assembly and drilling/riveting","industrial robot + servo/control base","broad domestic industrial robot portfolio","requires segmentation by application and financial contribution","SRC-robotics-155","web verified; raw capture pending"
ESTUN,iER170-2650,large-payload industrial robot,"170kg payload; 2650mm reach; +/-0.06mm repeatability; 6-axis; 1092kg body; wrist IP65/body IP54","large-payload industrial robot","transparent example for heavy industrial use","one example; full iER/ER portfolio needs extraction","SRC-robotics-155","web verified via search; raw capture pending"
EFORT,small robot series,industrial robot,"ER20-1100, ER12-900, ER10-900, ER15-1400, ER10-1100, ER10-700, ER8-1300, ER12-2100; 8-12kg payload; 593-2025mm reach; +/-0.02-0.03mm","small six-axis industrial robots","good for sorting, assembly, glue coating, inspection and loading/unloading","model-level specs need datasheets","SRC-robotics-154","web verified; raw capture pending"
EFORT,arc welding series,arc welding robot,"ARC12-1400, ARC10-1600, ER12H-2000, ER12H-1600, ER15H-1400; 10-15kg payload; 1400-2000mm reach; +/-0.03mm","arc welding industrial robots","clear process specialization","customer economics and margins need filings","SRC-robotics-154","web verified; raw capture pending"
EFORT,medium/large robot series,industrial robot,"medium 10-35kg and 1143-2295mm; large 50-210kg and 2146-3160mm; repeatability +/-0.03-0.1mm","medium and large industrial robots","broad payload coverage","exact model-level data need datasheets","SRC-robotics-154","web verified; raw capture pending"
Geek+,RoboShuttle C200S,tote-to-person AMR,"950x702x2500/3400mm; 304kg; 40kg payload; 2915mm max lifting height; 2m/s max speed; inertial + QR navigation; <10mm stop accuracy","tote-to-person high-density storage AMR","clear warehouse ROI and deployment maturity","manipulation capability still indirect","SRC-robotics-152","web verified; raw capture pending"
Geek+,RoboShuttle C200M,tote-to-person AMR,"1490x870x2500-5000mm; 470kg; 150kg payload; 4865mm max lifting height; 1.5m/s max speed; laser navigation; <10mm stop accuracy","tote-to-person high-density storage AMR","handles larger/heavier totes","depends on warehouse system integration","SRC-robotics-152","web verified; raw capture pending"
Geek+,P40 / P500 / P800 / PopPick,warehouse AMR/product families,"product names used in Geek+ tote/shelf-to-person solutions; detailed specs not captured","goods-to-person and hybrid warehouse AMR","rich deployment base and scenario data","model-level specs need official product pages","SRC-robotics-029;SRC-robotics-152","partial raw captured; parameters pending"
Quicktron,M-100,AMR,"product line listed on official product page; detailed specs not captured","warehouse AMR","established logistics automation use case","payload, speed, navigation and accuracy need product pages","SRC-robotics-153","web verified; raw capture pending"
Quicktron,C-Series,AMR/bin robot,"product line listed on official product page; detailed specs not captured","bin-to-person and warehouse AMR","fits e-commerce and manufacturing logistics","model-level specs need official capture","SRC-robotics-153","web verified; raw capture pending"
YOUIBOT,P200,collaborative mobile robot,"P200 PDF source located; detailed extraction not completed","industrial mobile robot / mobile manipulation base","industrial scenarios in semiconductor, energy and 3C are clear","need PDF capture and parameter extraction","SRC-robotics-031","raw company page captured; product PDF pending"
YOUIBOT,inspection/mobile manipulation solutions,industrial mobile robots,"official company positioning covers industrial embodied intelligence and mobile manipulation","AMR + sensors/robot arm + industrial software","closer to real industrial embodied deployment than generic humanoid demos","model list and parameters need detailed capture","SRC-robotics-031","raw company page captured; parameters pending"
