company,ticker,listing_region,segment,ai_chip_role,main_business,verified_public_relationships,market_cap_usd_billion,one_year_market_cap_change_pct,market_cap_date,market_cap_source,ai_exposure,quality_notes,risk_notes,source_ids,pe_ttm,forward_pe,pe_data_date,pe_source,pe_notes
Micron Technology,MU,US,HBM memory,HBM/DRAM/NAND for AI,"DRAM, NAND, HBM","Micron began mass production of HBM3E for NVIDIA H200; AI memory demand drives revenue mix",1010,833.79,2026-06-10,StockAnalysis,very_high,"美国HBM龙头，AI存储周期弹性最大之一","存储周期峰值、capex、价格回落",SRC-ic-013;SRC-ic-016,41.96,9.21,2026-06-11,StockAnalysis statistics,
ASML Holding,ASML,US ADR/Netherlands,Lithography equipment,EUV/DUV lithography bottleneck,"Lithography systems and services","AP/ASML reporting says 2025 revenue/profit driven by AI-related demand and EUV growth; EUV is leading-edge fab bottleneck",670.1,125.71,2026-06-10,StockAnalysis,very_high,"全球EUV稀缺垄断，受益于先进节点扩产","出口管制、周期订单波动、估值",SRC-ic-007;SRC-ic-016,58.10,44.50,2026-06-11,StockAnalysis statistics,
Applied Materials,AMAT,US,WFE equipment,Deposition/etch/process tools,"Semiconductor manufacturing equipment and services","Direct AI关系通过TSMC/Samsung/SK hynix/Micron等客户capex传导；本表不写未公开客户订单",394.61,212.18,2026-06-10,StockAnalysis,high,"WFE综合平台，受益先进逻辑和存储扩产","设备周期、对中国销售限制",SRC-ic-016,46.74,33.75,2026-06-11,StockAnalysis statistics,
Lam Research,LRCX,US,WFE equipment,Etch/deposition for memory and logic,"Etch, deposition, cleaning equipment","AI关系通过HBM/DRAM和先进制程capex传导；具体客户订单需财报验证",402.43,288.13,2026-06-10,StockAnalysis,high,"存储扩产弹性强","存储周期、出口限制、订单波动",SRC-ic-016,60.78,42.88,2026-06-11,StockAnalysis statistics,
KLA Corporation,KLAC,US,WFE equipment,Process control/metrology,"Inspection, metrology, process control","先进节点良率和先进封装复杂度提升带动需求；具体客户订单未在本表硬写",278.97,178.61,2026-06-10,StockAnalysis,high,"良率控制刚需，毛利质量高","设备周期、估值、客户capex波动",SRC-ic-016,60.46,44.87,2026-06-11,StockAnalysis statistics,
Tokyo Electron,8035.T,Japan,WFE equipment,Coater/developer/etch/deposition/cleaning,"Semiconductor production equipment","AI关系通过先进逻辑和存储客户capex传导；需补最新客户披露",181.62,142.57,2026-06,CompaniesMarketCap,high,"亚洲设备龙头，产品覆盖面广","中国收入和出口管制、日元、周期",SRC-ic-018;SRC-ic-035,67.78,,2026-06,CompaniesMarketCap PE,
Advantest,6857.T,Japan,Test equipment,ATE for AI/HBM/SoC,"Semiconductor test systems","AI芯片和HBM测试复杂度提升是公开行业逻辑；具体客户订单需补财报",114.01,174.16,2026-06,CompaniesMarketCap,high,"AI/HBM测试瓶颈弹性","周期和估值、客户集中",SRC-ic-019;SRC-ic-035,243.82,,2026-06,CompaniesMarketCap PE,
Teradyne,TER,US,Test equipment,ATE for semiconductors,"Automated test equipment, robotics","AI/HBM/SoC测试需求传导；具体客户订单未硬写",54.41,314.96,2026-06-10,StockAnalysis,medium_high,"测试环节弹性高","周期、订单可见度",SRC-ic-016,64.55,51.06,2026-06-11,StockAnalysis statistics,
Amkor Technology,AMKR,US,OSAT/advanced packaging,Packaging/test services,"Outsourced semiconductor packaging and test","NVIDIA supply chain public reports identify Amkor as packaging partner; Apple/TSMC Arizona packaging关系另需逐项核验",17.25,269.52,2026-06-10,StockAnalysis,medium_high,"美国先进封装本土化受益","资本开支、毛利、客户集中",SRC-ic-010;SRC-ic-016,40.04,31.93,2026-06-11,StockAnalysis statistics,
ASE Technology,ASX/TWSE 3711,Taiwan,OSAT/advanced packaging,Packaging/test services,"Outsourced assembly and test, EMS","Public supply-chain reports mention SPIL/ASE group in NVIDIA packaging ecosystem;需补公司级原始披露",,,2026-06-11,needs_quote,high,"先进封装和测试龙头","台湾地缘、周期、客户议价",SRC-ic-010,,,,needs_pe_source,
Entegris,ENTG,US,Materials,Specialty materials/filtration for fabs,"Materials, filtration, contamination control","AI关系通过先进制程和存储扩产传导；客户订单需补财报",19.65,79.45,2026-06-10,StockAnalysis,medium_high,"材料耗材复购属性","周期、客户capex、材料价格",SRC-ic-016,74.02,33.62,2026-06-11,StockAnalysis statistics,
Synopsys,SNPS,US,EDA/IP,EDA and IP for chip design,"EDA software, IP, verification","AI芯片复杂度提升驱动EDA/IP需求；具体客户多不披露",89.09,15.5,2026-06-09,StockAnalysis,medium_high,"高毛利软件/IP，周期相对平滑","估值、并购整合、出口限制",SRC-ic-016,109.08,29.03,2026-06-11,StockAnalysis statistics,
Cadence Design Systems,CDNS,US,EDA,EDA and system design software,"EDA, verification, simulation, IP","AI芯片/封装/系统复杂度提升驱动EDA需求；客户订单多不披露",107.82,24.71,2026-06-09,StockAnalysis,medium_high,"高质量软件资产","估值、出口限制",SRC-ic-016,89.77,47.33,2026-06-11,StockAnalysis statistics,
MediaTek,2454.TW,Taiwan,Edge AI SoC,Mobile/edge AI SoCs,"Mobile SoC, connectivity, automotive/IoT","AI关系主要是端侧AI；非数据中心AI加速器",204.11,191.98,2026-06,CompaniesMarketCap,medium,"端侧AI和中国安卓链弹性","手机周期、毛利、竞争",SRC-ic-021;SRC-ic-035,59.15,,2026-06,CompaniesMarketCap PE,
GlobalFoundries,GFS,US,Mature/specialty foundry,Specialty foundry,"RF, automotive, IoT, specialty processes","AI直接暴露较弱；更多是电源/连接/边缘配套",,,2026-06-11,needs_quote,low_medium,"特殊工艺防守型","先进AI节点缺位",SRC-ic-021,53.86,37.73,2026-06-11,StockAnalysis statistics,
SMIC,0981.HK/688981.SH,China,Foundry,China domestic foundry,"Logic foundry, mature and advanced domestic nodes","中国AI芯片国产化关键代工平台；客户/先进制程细节受披露限制",74.04,75,2026-06,CompaniesMarketCap,high_china,"国产替代核心卡位","制裁、设备受限、良率/节点不透明",SRC-ic-022;SRC-ic-035,113.35,,2026-06,CompaniesMarketCap PE,
Cambricon,688256.SH,China,AI accelerator,China AI accelerator chips and cards,"AI training/inference chips, accelerator cards, software stack","Public sources describe 2025 revenue surge and China domestic substitution role;具体大客户需逐项公告核验",,,2026-06-11,needs_local_quote,very_high_china,"中国AI芯片弹性最高之一","估值极高、先进制程受限、现金流/供给",SRC-ic-023,,,,needs_pe_source,
Hygon Information,688041.SH,China,CPU/DCU,China x86-compatible CPUs and AI accelerators,"Server CPUs, DCU AI accelerators","Public sources describe AMD historical JV/IP background and domestic AI accelerator positioning",,,2026-06-11,needs_local_quote,high_china,"国产CPU+AI加速器组合","IP/制裁、生态、估值",SRC-ic-024,,,,needs_pe_source,
Montage Technology,688008.SH,China,Memory interface,DDR/HBM memory interface chips,"Memory interface chips, PCIe retimers, server chips","AI服务器带动内存接口和互连需求；具体客户订单需补财报",,,2026-06-11,needs_local_quote,medium_high_china,"服务器内存链国产稀缺环节","周期、客户集中、估值",SRC-ic-025,,,,needs_pe_source,
NAURA Technology,002371.SZ,China,WFE equipment,China semiconductor equipment,"Etch, deposition, cleaning, furnace equipment","国产fab扩产和设备国产化受益；具体客户订单需补财报",,,2026-06-11,needs_local_quote,high_china,"中国设备平台龙头","估值、技术差距、订单周期",SRC-ic-026,,,,needs_pe_source,
AMEC,688012.SH,China,WFE equipment,Etch/MOCVD equipment,"Etch equipment, MOCVD","国产先进制程设备受益；具体客户订单需补公告",,,2026-06-11,needs_local_quote,high_china,"刻蚀环节国产龙头","出口限制、客户集中、估值",SRC-ic-027,,,,needs_pe_source,
Piotech,688072.SH,China,WFE equipment,Deposition equipment,"PECVD/ALD/SACVD等薄膜沉积设备","国产fab capex传导；具体AI客户非直接披露",,,2026-06-11,needs_local_quote,medium_high_china,"国产薄膜设备稀缺","订单周期、技术迭代",SRC-ic-028,,,,needs_pe_source,
Hwatsing Technology,688120.SH,China,WFE equipment,CMP equipment,"CMP equipment and process support","先进制程和先进封装对CMP需求提升；具体客户需公告核验",,,2026-06-11,needs_local_quote,medium_high_china,"国产CMP龙头","订单周期、竞争、估值",SRC-ic-029,,,,needs_pe_source,
JCET Group,600584.SH,China,OSAT/advanced packaging,Packaging/test services,"OSAT, system-in-package, advanced packaging","AI芯片先进封装国产替代受益；具体AI客户需逐项公告核验",,,2026-06-11,needs_local_quote,medium_high_china,"中国OSAT龙头","毛利、客户议价、周期",SRC-ic-030,,,,needs_pe_source,
Tongfu Microelectronics,002156.SZ,China,OSAT,Packaging/test services,"OSAT packaging and testing","Historical AMD relationship公开存在；AI GPU/CPU封装具体订单需补公告",,,2026-06-11,needs_local_quote,medium_high_china,"AMD链和国产封测弹性","毛利、客户集中、周期",SRC-ic-031,,,,needs_pe_source,
Huatian Technology,002185.SZ,China,OSAT,Packaging/test services,"OSAT packaging and testing","AI链关系以封测capex传导为主；具体客户需补财报",,,2026-06-11,needs_local_quote,medium_china,"国产封测平台","技术结构、毛利、周期",SRC-ic-032,,,,needs_pe_source,
Shennan Circuits,002916.SZ,China,PCB/substrate,AI server PCB/package substrate,"PCB, IC substrate, electronic assembly","AI服务器和高速PCB需求传导；具体客户需补公告",,,2026-06-11,needs_local_quote,medium_high_china,"高速PCB/载板受益","价格周期、扩产、客户集中",SRC-ic-033,,,,needs_pe_source,
Victory Giant Technology,300476.SZ,China,PCB,AI server PCB,"High-end PCB","AI服务器PCB需求传导；具体客户需补公告",,,2026-06-11,needs_local_quote,medium_high_china,"AI服务器PCB弹性","估值、产能和价格周期",SRC-ic-034,,,,needs_pe_source,
